ad_unit,advertising_id,advertising_id_type,user_id,segment,placement,ad_network,AB_Testing,impressions,revenue,appKey,date,import_time
rewarded_video,2874dba6-46e7-4506-9a17-09b83c4aefd6,gaid,,,defaultrewardedvideo,facebook,A,2,0.00832,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,6417ad01-f930-40d7-beae-9f14e9d009d2,gaid,,,defaultrewardedvideo,facebook,A,3,0.01248,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,b3a2a123-bbbe-466c-9af5-21857fc5a794,gaid,,,defaultrewardedvideo,facebook,A,1,0.00416,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,a8aa59d8-19a4-4305-9c93-35e5eb4e1ffe,gaid,,,defaultrewardedvideo,facebook,A,1,0.00416,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,8cb02e80-c79c-4aa2-8992-edae001641ed,gaid,,,defaultrewardedvideo,facebook,A,1,0.00416,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,5479ebf6-d68e-4f67-a3c1-dbbca7373431,gaid,,,defaultrewardedvideo,admob,A,3,0.032342,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,0ab76ef1-7408-4cbd-9c73-c2f69ca3d070,gaid,,,defaultrewardedvideo,admob,A,1,0.004407,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,e4429ec5-de34-4b68-a050-95806b17d094,gaid,,,defaultrewardedvideo,admob,A,2,0.001152,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,8c8d1aaf-b3f5-4dad-b4c0-2b5ee43121fd,gaid,,,defaultrewardedvideo,admob,A,10,0.0735,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,a7f84619-c43b-4623-aedf-883242bdd483,gaid,,,defaultrewardedvideo,admob,A,3,0.655803,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,74442be3-6f79-4a9c-b52c-982207ad2889,gaid,,,defaultrewardedvideo,admob,A,11,0.047969,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,9a89c1cc-d73d-47e8-9d7b-84f8d6ee197a,gaid,,,defaultrewardedvideo,admob,A,6,0.111346,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,6417ad01-f930-40d7-beae-9f14e9d009d2,gaid,,,defaultrewardedvideo,admob,A,4,0.011111,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,18420384-1ad0-4265-892b-a8ac14d497a1,gaid,,,defaultrewardedvideo,admob,A,3,0.007971,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,2424823b-c7ff-4c22-b421-3f80a1a2863a,gaid,,,defaultrewardedvideo,admob,A,4,0.007218,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,c1e67d06-0951-4cfd-80a1-4506bb34b45b,gaid,,,defaultrewardedvideo,admob,A,4,0.008831,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,6945cc7c-505d-4c63-8148-a2171af428ae,gaid,,,defaultrewardedvideo,admob,A,1,0.043091,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,439ea6f1-206a-415e-8bbe-0daa502d74a1,gaid,,,defaultrewardedvideo,admob,A,4,0.007323,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,31c23c4a-12b6-49df-aa05-d504144da73d,gaid,,,defaultrewardedvideo,admob,A,1,0.003115,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,b8c7251a-fe61-45cd-8b58-c01ffea6cc4f,gaid,,,defaultrewardedvideo,admob,A,1,0.024974,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,a5407881-1cef-4ba8-80e2-ca19f666708e,gaid,,,defaultrewardedvideo,admob,A,2,0.063214,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,c0ab35cf-1ee2-465a-95e2-67d5351390d8,gaid,,,defaultrewardedvideo,admob,A,1,0.077741,19b574ff5,2023-12-20,2023-12-29 17:44:21
