event_timestamp,advertising_id,advertising_vendor_id,user_id,ad_unit,ad_network,instance_name,country,placement,segment,AB_Testing,revenue,facebook_encrypted_cpm,appKey,date,import_time
2023-12-20 07:58:47,453ac13b-0a42-4285-bf44-25e10cdef52d,,,rewarded_video,Meta,Bidding,KR,defaultrewardedvideo,,A,0.0,ARF7y0oK1eU0-HNZYnvkdUmCnNrOlRWPmMUFJ1zio_l69oWXDm8k__yK4dn89RN6Ggr1FBQyy7eQ1GYH4_OzsaxqLziHOzeDwYpJcG3aPbkJ,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 11:14:44,c95adfd8-2eb7-4eec-a4b2-2ccf1893aec3,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARG40SGYrCun5Y-3fd7CmW_SfvExTnawr1O5G-agOOQGuehO2XpUgZZBxkqz3Ep---FUnMZiXQLYI3TsZJAroCLPWE35hk_Qv8LCKVYJx7H6vUpKyX2U8g,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 07:13:40,2874dba6-46e7-4506-9a17-09b83c4aefd6,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFeTk55eiostKIc7PQNnMdn18YEjAGGz65Px1JA90oJXsVckxAiaVsgXZaVH8bJ5rCX7OC9kBcrkSfM3uzRimyh0LAVgoY3Uj2zL5o_wA,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 20:20:11,6417ad01-f930-40d7-beae-9f14e9d009d2,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFAEia_5Sk4BwATR5gmyEsXbX1W34IrOtiM4brZnFFwmMZ_-tN3ZVlvo05MEKl4_mfvVYtdxnXpNTfC1QfDjqC6N7UHVW2EgCSH61wOICzcFN5w4q0,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 19:09:24,6417ad01-f930-40d7-beae-9f14e9d009d2,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFM2Cw2Wys-4IRr4z8csoOs_wyDsX7E8iwfBWuvVbvwwfshZXUdA6s0Q-22VDs3qki2XIKUy-6dsQkK6xjzQFb0nxBOYrG8OV9kqcjE,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 06:50:01,b3a2a123-bbbe-466c-9af5-21857fc5a794,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFHW6iDIkIVmVZ4_490vlcSGmNQZE3TM7doo2GAqFqq7gMZ5LLPg2NhlHQZ9qo_H2qDt67J7A0meKE8AZldNWO6ZJG5hVumYxnJWhuDGUg,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 02:17:45,a8aa59d8-19a4-4305-9c93-35e5eb4e1ffe,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFy9nRvxreUG_Z6YXx0owK_tkuEsrHSEjEXuEwmBMp7gR9iLQ7H38KUvEZ2TQWYYKX8hjBohiTOYvOPbAQ_wdwBeJFI_BkG3UzDRhrV,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 20:18:31,6417ad01-f930-40d7-beae-9f14e9d009d2,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,AREgEorhRc1YEITC0YYY3iSy55h8fEGI6He1RUrpsxsvWe60OGpdkAbQkmRkOslcM_TMj_5FC3rlUeX-71vPFDJG-DsY_NdGRE3blXEH,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 11:03:42,2874dba6-46e7-4506-9a17-09b83c4aefd6,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARFYj1hXZowCpkOVV_S8yaudkrWlQqG2ciZZdYhOU-jQoZiCFcYhmTdhbn_aXqVII812PdiPLN3ox69cNMXAC0kLxL7nyDEIzT4y1XIjMkc,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 13:00:20,8cb02e80-c79c-4aa2-8992-edae001641ed,,,rewarded_video,Meta,Bidding,PH,defaultrewardedvideo,,A,0.00416,ARE88Cbaw45UR-L5Y3tA404ebvg9-A_frnWtINM-i3dvpoPyEnGbn1uYdkdxomvx1xL5VaiLfK2KXIKczhXwIiYOq0Ua-63xuFIR3hWT9CY,19b574ff5,2023-12-20,2023-12-29 17:44:07
